ID,Nombre NFT,Nombre Real,Archivo,Confianza,Observaciones
1,Lionel Satoshi,Lionel Messi,DxjaQ.jpg,82%,"Barba espesa, mirada intensa"
2,Dibu De-Fi,Emiliano Martínez,eK3bc.jpg,87%,Tatuaje visible pierna izq.
3,Julian Bull-varez,Julián Álvarez,DncFG.jpg,90%,"Fade clásico, complexión compacta"
4,Enzo Ether,Enzo Fernández,BhTBc.jpg,88%,"Tatuajes visibles, fade burst"
5,Rodrigo De-Pool,Rodrigo De Paul,5C8GN.jpg,85%,"Expresión apasionada, tatuajes"
6,Angel Di Merkle,Ángel Di María,ZkyHt.jpg,83%,"Cabello clásico, piel oliva"
7,Alexis Mac-Chain,Alexis Mac Allister,QqMAA.jpg,91%,Buzz cut + barba rojiza
8,Cuti Crypt,Cristian Romero,qEwxs.jpg,92%,"Barba corta, mirada intimidante"
9,Lisandro Butcher-DAO,Lisandro Martínez,UP3Bf.jpg,88%,"Cabello shaggy, expresión agresiva"
10,Nahuel Mo-Wallet,Nahuel Molina,5VJOb.jpg,90%,"Fade limpio, complexión ágil"
...,...,...,...,...,...
50,Unai Simon-Key,Unai Simón,aoFsV.jpg,84%,"Complexión alta, portero"
